region,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan-feb,mar-may,jun-sep,oct-dec,winter,summer,monsoon,post_monsoon,annual_calc
ARUNACHAL PRADESH,2004,38.0,39.1,175.5,210.2,298.7,402.9,654.3,243.0,278.5,184.8,5.6,15.2,2545.7,77.1,684.3,1578.7,205.6,77.1,684.4,1578.6999999999998,205.6,2545.7999999999997
ARUNACHAL PRADESH,2005,48.4,167.6,229.5,195.3,179.8,269.3,430.8,400.0,243.6,139.3,28.6,3.3,2335.5,216.0,604.6,1343.7,171.2,216.0,604.6,1343.6999999999998,171.20000000000002,2335.5
ARUNACHAL PRADESH,2006,6.0,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.7,2259.6,109.7,587.7,1393.5,168.7,109.7,587.7,1393.3999999999999,168.6,2259.399999999999
ARUNACHAL PRADESH,2007,13.4,97.4,48.1,292.4,250.4,530.2,761.0,364.6,529.3,102.6,24.3,6.9,3020.7,110.8,590.9,2185.1,133.9,110.80000000000001,590.9,2185.1000000000004,133.79999999999998,3020.6000000000004
ARUNACHAL PRADESH,2008,76.7,39.7,122.6,192.4,185.0,423.6,456.1,439.3,189.7,115.1,1.7,2.6,2244.4,116.4,499.9,1508.7,119.4,116.4,500.0,1508.7,119.39999999999999,2244.4999999999995
ARUNACHAL PRADESH,2009,18.0,92.8,72.1,132.7,189.9,259.1,329.9,370.3,152.5,82.9,33.9,15.9,1749.9,110.8,394.7,1111.8,132.7,110.8,394.7,1111.8,132.70000000000002,1750.0000000000002
ARUNACHAL PRADESH,2010,0.6,13.2,237.8,466.9,312.7,509.9,378.0,321.5,444.2,97.7,58.9,14.2,2855.7,13.9,1017.5,1653.6,170.9,13.799999999999999,1017.4000000000001,1653.6000000000001,170.79999999999998,2855.5999999999995
ARUNACHAL PRADESH,2011,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2,2193.7,91.4,634.9,1384.2,83.3,91.3,634.9,1384.1000000000001,83.3,2193.5999999999995
ARUNACHAL PRADESH,2012,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2,3440.3,93.6,724.9,2325.6,296.3,93.6,724.9999999999999,2325.6,296.3,3440.4999999999995
ARUNACHAL PRADESH,2013,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6,2042.9,59.0,626.0,1165.9,192.0,59.0,626.0,1165.9,192.0,2042.8999999999999
ARUNACHAL PRADESH,2014,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2,2403.2,120.9,466.0,1750.8,65.4,120.9,466.0,1750.8000000000002,65.4,2403.0999999999995
